Time,EdgeID,Speed,Occupancy
1.0,375012288#1,6.705,0.11088365745479359
2.0,375012288#1,1.2364292551064864,0.22176731490958718
3.0,375012288#1,3.41071382118389,0.22176731490958718
4.0,375012288#1,6.964771710888017,0.22176731490958718
5.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,9.35247680376051,0.10086324986976646
5.0,375012288#1,7.701286177542061,0.19110571285091713
6.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,8.687408112609138,0.36475869809203143
6.0,375012288#1,8.702109607094899,0.11088365745479359
7.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,4.758144817992889,0.36475869809203143
7.0,375012288#1,10.011579859403428,0.11088365745479359
8.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,6.753731176934981,0.2833559850892975
8.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,8.983802828122862,0.15829303436102532
8.0,375012288#1,13.41,0.10239766133521466
9.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,8.501316398594373,0.44097693351424694
9.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,8.626267396270554,0.36475869809203143
9.0,375012288#1,13.41,0.0
10.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
10.0,111782596#2,12.21391285126695,0.03798503973819542
10.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,5.82999809510667,0.36475869809203143
10.0,375012288#1,13.41,0.0
11.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,8.129058709886262,0.35704025059655375
11.0,111782596#2,13.202831749777697,0.03798503973819542
11.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.06942910809241289
11.0,375012288#1,13.41,0.0
12.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.34059784728500675
12.0,111782596#2,12.830534947400219,0.04663153185494975
12.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
12.0,375012288#1,13.41,0.0
13.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
13.0,111782596#2,12.681856647803846,0.07597007947639084
13.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
13.0,375012288#1,13.41,0.0
