Time,EdgeID,Speed,Occupancy
1.0,375012288#1,6.705,0.11088365745479359
2.0,375012288#1,1.2364292551064864,0.22176731490958718
3.0,375012288#1,3.41071382118389,0.22176731490958718
4.0,375012288#1,6.964771710888017,0.22176731490958718
5.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,9.35247680376051,0.10086324986976646
5.0,375012288#1,7.701286177542061,0.19110571285091713
6.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.232679287262727,0.36475869809203143
6.0,375012288#1,8.702109607094899,0.11088365745479359
7.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
7.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.483840430637079,0.44097693351424694
7.0,375012288#1,10.011579859403428,0.11088365745479359
8.0,111782596#2,12.375192610829696,0.01925133270359068
8.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,8.983802828122862,0.027915212824338766
8.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.2174838499159812
8.0,375012288#1,13.41,0.10239766133521466
9.0,111782596#2,13.301218898510747,0.03798503973819542
9.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,10.142590358942092,0.36475869809203143
9.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
9.0,375012288#1,13.41,0.0
10.0,111782596#2,13.767395202487428,0.03798503973819542
10.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.19588508719405937
10.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,10.189288294730053,0.20416063407068263
10.0,375012288#1,13.41,0.0
11.0,111782596#2,13.480049718530104,0.03798503973819542
11.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
11.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,10.66351330393953,0.44097693351424694
11.0,375012288#1,13.41,0.0
12.0,111782596#2,12.367409077896951,0.07597007947639084
12.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
12.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
12.0,375012288#1,13.41,0.0
13.0,111782596#2,12.529011083039853,0.07597007947639084
13.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
